v [V] 	j [A/cm^2] 	p [W/cm^2] 
-1.000000000E-1	3.424620345E-2	-3.424620345E-3
-2.142857143E-2	3.424481306E-2	-7.338174227E-4
0.000000000E+0	3.424442049E-2	0.000000000E+0
5.714285714E-2	3.424334229E-2	1.956762417E-3
1.357142857E-1	3.424177205E-2	4.647097636E-3
2.142857143E-1	3.424001861E-2	7.337146844E-3
2.928571429E-1	3.423680619E-2	1.002649324E-2
3.714285714E-1	3.420628325E-2	1.270519092E-2
4.500000000E-1	3.363651201E-2	1.513643040E-2
4.450892857E-1	3.373616053E-2	1.501560359E-2
5.285714286E-1	2.686030294E-2	1.419758870E-2
4.450892857E-1	3.373616053E-2	1.501560359E-2
6.071428571E-1	5.321700654E-3	3.231032540E-3
6.224888393E-1	-1.063869219E-4	-6.622467150E-5
6.857142857E-1	-2.465434740E-2	-1.690583822E-2
7.642857143E-1	-5.801336493E-2	-4.433878605E-2
8.428571429E-1	-9.301204885E-2	-7.839586974E-2
9.214285714E-1	-1.289511404E-1	-1.188192651E-1
1.000000000E+0	-1.654933041E-1	-1.654933041E-1
