v [V] ,j [A/cm^2] ,p [W/cm^2] 
-1.000000000E-1,7.471054095E-2,-7.471054095E-3
-4.285714286E-2,6.914485782E-2,-2.963351049E-3
0.000000000E+0,6.496566765E-2,0.000000000E+0
1.428571429E-2,6.357172861E-2,9.081675516E-4
7.142857143E-2,5.799187527E-2,4.142276805E-3
1.285714286E-1,5.240592019E-2,6.737904024E-3
1.857142857E-1,4.681440362E-2,8.694103529E-3
2.428571429E-1,4.121779744E-2,1.001003652E-2
3.000000000E-1,3.561651622E-2,1.068495487E-2
3.571428571E-1,3.001092604E-2,1.071818787E-2
3.321428571E-1,3.246388026E-2,1.078264594E-2
4.142857143E-1,2.440135178E-2,1.010913145E-2
3.321428571E-1,3.246388026E-2,1.078264594E-2
4.714285714E-1,1.878808306E-2,8.857239156E-3
5.285714286E-1,1.317137909E-2,6.962014663E-3
5.857142857E-1,7.551472867E-3,4.423005536E-3
6.428571429E-1,1.928574467E-3,1.239797872E-3
6.620535714E-1,3.899436726E-5,2.581636011E-5
7.000000000E-1,-3.697125950E-3,-2.587988165E-3
